rand_point,fid,DN,SpRasterNA,slopeRaste,sg_date,sg__gdd_p2,sg__gdd_p1,pcp0708,pcp0607,pcp0506,MinT0708,MinT0607,MinT0506,MaxT0708,MaxT0607,MaxT0506,elevationR,DistanceRo,DistanceRi,aspectRast,X,Y
512,2,"0",2.00000,0.00287,136.75032,201.49271,0.28425,97.04945,98.62312,94.90353,9.73088,8.01210,3.36344,20.36251,19.06850,14.09179,247.83356,5992.81982,3903.45483,1.85286,"554646","5352509"
513,2,"0",,0.06421,145.99138,184.54173,0.32521,106.05606,101.15930,89.49963,8.78910,7.02963,2.18290,17.56161,16.35786,11.19926,639.88324,4527.05908,25752.61133,3.11137,"449573","5484423"
514,2,"0",5.00000,0.01260,135.81126,214.39900,0.36232,81.10223,78.63857,79.64151,10.12130,8.44711,3.60969,21.45499,20.23400,14.63942,171.61310,6885.19580,10381.45215,1.88997,"595983","5431553"
515,2,"0",2.00000,0.01000,136.53000,213.42375,0.39512,88.66050,87.17738,84.06773,9.65090,8.04211,3.28066,21.13116,19.94250,14.61168,205.64919,19979.44531,19659.74609,5.81669,"558003","5388254"
516,2,"0",3.00000,0.02828,137.55202,170.91022,0.16573,88.71533,92.73517,96.54854,9.77995,7.57893,3.22317,19.25976,17.45132,12.75370,240.84569,8047.74512,44653.58203,4.55593,"705784","5319974"
517,2,"0",2.00000,0.01169,135.82042,211.43546,0.30940,79.27133,76.43049,78.19053,10.36749,8.54537,3.72792,21.45603,20.11524,14.41989,120.59409,1549.74182,18837.83203,1.81408,"602114","5447088"
518,2,"0",2.00000,0.00462,134.79433,199.87854,0.22176,96.72588,98.99431,98.99884,10.03831,8.24159,3.69481,20.50572,19.16130,14.34662,226.18401,7684.09961,16802.64453,3.80928,"605744","5343720"
519,2,"0",5.00000,0.01380,143.91893,198.17914,0.38641,83.16988,80.02752,81.45746,9.42066,7.30278,2.42716,19.55810,17.93421,12.07659,154.53549,1747.50452,52989.54297,4.58972,"566969","5531472"
520,2,"0",1.00000,0.01300,138.93391,202.07887,0.31916,100.82903,94.94891,82.90279,10.09806,8.35198,3.51036,19.45902,18.25422,13.09680,300.87781,240.05257,29224.58398,3.73386,"436778","5459166"
521,2,"0",,0.01063,139.84734,169.51559,0.12338,108.38838,116.50311,111.95827,9.89449,7.84230,3.42028,17.97426,16.25081,11.84875,312.11462,50030.48828,21491.42188,2.43246,"524737","5289196"
522,2,"0",5.00000,0.00378,141.76219,152.87672,0.18171,99.69337,97.42439,104.67485,9.43456,6.98463,2.94143,17.91787,15.89483,11.16372,165.28577,9030.09766,172010.32813,3.82776,"799564","5201623"
523,2,"0",1.00000,0.00932,138.65285,144.42206,0.10599,87.50420,90.65903,99.59180,10.30479,7.80739,3.70741,17.28279,15.28477,11.16721,77.56276,1776.43567,78069.96094,1.84990,"619826","5196264"
524,2,"0",1.00000,0.00258,146.54700,186.03687,0.36746,93.20456,89.07013,82.90878,8.84210,6.87902,2.08677,18.05601,16.58149,11.12717,425.61011,7908.49902,11939.64941,0.95112,"506912","5534816"
525,2,"0",2.00000,0.00191,134.54517,197.99823,0.21016,80.11659,81.05898,85.55310,9.94788,8.04050,3.52956,21.12535,19.67335,14.51951,147.33376,5611.59912,2563.20068,1.95455,"693723","5363805"
526,2,"0",3.00000,0.00303,135.79929,192.29965,0.16817,77.86042,79.18083,84.70048,9.76759,7.71998,3.23507,20.93599,19.32146,14.09650,81.54848,864.12292,31805.14453,5.71068,"730110","5356298"
527,2,"0",3.00000,0.00723,131.89105,181.77528,0.12040,101.81417,107.88313,107.50095,10.97117,8.90552,4.56168,19.79818,18.10277,13.77453,76.83701,4001.08252,11752.28027,5.26124,"586298","5296699"
528,2,"0",1.00000,0.03822,141.60822,194.47246,0.42671,105.65385,106.75806,97.02821,9.15061,7.47096,2.71247,18.86289,17.62884,12.61969,527.84564,7864.83643,2838.93823,5.97995,"458340","5354248"
529,2,"0",1.00000,0.00874,138.03650,176.20062,0.18182,90.96323,87.24603,95.28475,10.06315,7.71388,3.37510,19.50968,17.74615,12.64903,205.77574,8097.98877,157252.09375,0.22371,"800208","5241579"
530,2,"0",,0.00345,138.45963,186.51620,0.18347,104.84127,110.95312,103.42780,9.90725,8.02944,3.49983,19.10576,17.52118,12.84339,228.11526,17121.52734,1387.43091,0.47478,"504741","5316701"
531,2,"0",1.00000,0.01833,134.96162,161.80405,0.04743,91.23258,97.16813,101.12893,10.54509,8.22030,4.02691,19.05947,17.01171,12.54212,108.45039,4600.06396,44084.68359,1.89020,"689984","5269498"
532,2,"0",1.00000,0.01734,137.85249,204.93405,0.29302,101.74928,98.24492,88.48674,10.14025,8.46879,3.58190,19.63719,18.51748,13.53329,306.35077,1051.76038,26231.60352,5.35505,"425529","5398296"
533,2,"0",2.00000,0.01216,134.76639,198.07529,0.13624,76.78757,76.93835,82.34249,9.88900,7.96606,3.44183,21.27084,19.81713,14.54806,121.01029,4640.82422,5653.78760,1.14124,"706341","5370543"
534,2,"0",,0.00833,141.94467,176.05247,0.24970,110.85946,116.46709,106.36519,9.49740,7.61899,3.03514,17.93885,16.35857,11.71621,428.89609,10332.54297,14979.11914,5.47176,"438997","5316322"
535,2,"0",2.00000,0.00537,136.90909,216.76062,0.36364,87.84866,85.50888,79.62688,9.61945,8.02437,3.23024,21.31104,20.12506,14.64286,154.31378,2362.89966,1709.41589,2.99150,"520553","5402236"
536,2,"0",1.00000,0.01362,142.36375,198.59229,0.38038,85.19990,81.60970,80.84920,9.21432,7.27077,2.46369,19.95116,18.47918,12.70766,232.92155,946.06140,43423.96094,5.74025,"548164","5503467"
537,2,"0",2.00000,0.00941,138.89458,210.48459,0.28721,92.24322,87.48414,80.22747,9.24617,7.65491,2.86320,20.54896,19.45184,14.00774,310.64285,8210.27930,27363.41992,0.76690,"496973","5424870"
538,2,"0",2.00000,0.00118,132.87941,216.01967,0.20079,78.62298,77.25005,79.04816,10.77905,9.07858,4.25666,22.00441,20.71634,15.11861,47.02235,1681.49768,3349.33765,0.93140,"607409","5431540"
539,2,"0",1.00000,0.02093,137.51421,169.00066,0.16794,84.41870,87.90218,92.12828,10.02153,7.66466,3.31856,19.33424,17.40508,12.66834,128.50917,1706.04785,64787.61719,0.04126,"736749","5318264"
540,2,"0",1.00000,0.00794,147.29211,175.79646,0.34581,84.57240,82.31001,76.80887,8.95450,6.64751,2.07424,17.96857,16.16333,10.67234,50.64476,885.36841,87936.92969,2.73489,"583540","5657559"
541,2,"0",,0.02065,150.14862,171.63632,0.34792,94.16560,89.39345,78.77693,8.95284,6.77663,1.99896,16.36956,14.72078,9.59974,369.54749,8914.18652,64866.74219,6.05146,"514239","5624671"
542,2,"0",4.00000,0.00596,139.04996,168.66393,0.19198,94.64281,91.14769,98.76764,9.83524,7.44682,3.21186,19.07715,17.22997,12.25821,201.59634,5714.67041,160849.65625,1.25611,"798945","5226426"
543,2,"0",1.00000,0.01034,147.86163,182.77164,0.43759,87.40520,83.38258,77.79392,9.06782,6.89251,2.13803,17.65803,15.95432,10.54050,268.71048,33303.76563,48101.17188,1.41226,"538671","5597907"
544,2,"0",,0.04676,142.64284,179.36154,0.25632,109.71942,111.73843,101.75514,9.45699,7.61698,2.90115,17.81142,16.40211,11.67607,568.04297,20363.75000,19031.20703,2.86661,"405947","5337115"
545,2,"0",1.00000,0.02280,140.43945,184.23506,0.26340,107.27662,108.66352,98.71323,9.89007,8.02855,3.31526,18.34927,16.90833,12.19866,435.82629,14837.19434,27028.55078,3.08132,"396738","5339811"
546,2,"0",1.00000,0.01567,139.36165,191.28764,0.27986,106.34232,107.92870,97.61524,9.84981,8.07519,3.35154,18.94648,17.57458,12.77331,352.19769,17308.38477,11927.79688,6.01780,"425167","5347362"
547,2,"0",1.00000,0.01718,141.65614,180.58598,0.26601,87.37229,81.83108,68.47856,10.66771,8.50927,3.68486,17.86939,16.18503,11.27906,23.93718,5510.82080,56989.02344,5.61555,"487836","5620322"
548,2,"0",2.00000,0.00796,135.16406,191.44424,0.18503,92.53180,95.70683,98.43859,10.00433,8.09519,3.64435,20.27196,18.78432,13.96379,229.84323,39475.54297,3692.69922,1.02917,"651306","5335104"
549,2,"0",1.00000,0.03078,141.33350,133.92760,0.11949,102.51453,99.21100,104.42522,10.04595,7.44023,3.38441,16.61988,14.39217,10.34044,115.31950,1110.76611,147049.35938,5.30974,"760943","5184584"
550,2,"0",3.00000,0.06627,137.50902,201.03239,0.30820,100.29010,94.87635,83.08364,10.72413,8.89297,4.02193,19.38571,18.08201,13.02811,271.73215,15042.93945,35408.96094,3.73661,"416383","5455355"
551,2,"0",1.00000,0.00511,140.47102,185.81825,0.29578,107.92545,111.90746,101.54084,9.62650,7.82041,3.17656,18.63944,17.16435,12.39902,375.05902,4085.01709,4864.31445,6.04903,"442675","5331031"
552,2,"0",2.00000,0.00998,136.17717,214.83463,0.39125,83.27995,80.36059,79.82098,9.81335,8.20439,3.38669,21.36979,20.20169,14.70318,209.80853,5215.56738,4487.77783,0.40734,"581798","5416558"
553,2,"0",,0.02986,135.18292,173.44652,0.19634,98.56066,104.74419,109.58401,10.27177,8.18506,3.95958,19.30643,17.53794,13.02537,207.12169,15035.16797,1189.76575,2.12085,"644597","5283444"
554,2,"0",,0.00362,134.00000,193.84067,0.19230,94.14614,97.42802,99.39983,10.19045,8.30736,3.85746,20.47111,18.99880,14.22388,197.86021,25707.49414,1815.86084,4.81056,"637242","5333904"
555,2,"0",2.00000,0.00872,136.72089,207.14616,0.26106,92.53605,92.54369,90.69019,9.64626,7.98769,3.27833,20.68406,19.47883,14.32650,287.37726,23086.37695,19788.13477,5.36112,"575196","5373829"
556,2,"0",1.00000,0.01158,146.94711,182.88326,0.38999,96.35876,92.12582,84.31850,8.82265,6.87340,2.06314,17.67246,16.22917,10.87928,475.99701,15433.02930,13777.87109,0.86434,"495195","5535161"
557,2,"0",2.00000,0.00358,146.68227,174.30956,0.35247,87.81301,83.72759,74.42484,9.29722,6.98677,2.34194,17.61223,15.81905,10.58863,73.27925,5687.20361,65456.21875,2.68441,"544309","5659391"
558,2,"0",,0.01093,149.60258,176.46718,0.40902,98.57597,94.23598,85.25763,8.65742,6.65325,1.82113,16.74449,15.27242,10.02029,545.53839,16730.08789,2236.20459,1.40422,"493759","5559204"
559,2,"0",2.00000,0.00792,139.89523,201.45012,0.34843,99.92368,101.26478,94.62603,9.22222,7.55187,2.83898,19.70140,18.46173,13.36364,402.03790,2675.90454,21140.15430,6.09172,"518087","5356887"
560,2,"0",1.00000,0.01279,139.58372,161.91583,0.14577,96.31504,93.57468,100.82642,9.69138,7.28436,3.20566,18.73987,16.76093,11.86363,93.10752,1039.39954,173523.89063,1.49453,"805141","5210399"
561,2,"0",2.00000,0.01096,143.53273,197.65906,0.38218,84.16842,81.06208,82.16795,9.32410,7.26255,2.39414,19.65459,18.09559,12.25981,200.92320,4393.71924,58485.81641,2.21520,"564968","5518123"
562,2,"0",2.00000,0.00641,134.89720,201.04515,0.26512,75.39629,73.82887,76.43690,10.68899,8.61767,3.97832,21.07725,19.55742,14.05195,45.97508,12216.18750,26753.01758,2.47968,"705263","5442106"
563,2,"0",2.00000,0.00860,138.28043,213.04684,0.36918,88.22504,85.04805,80.23215,9.25978,7.67893,2.87538,20.95410,19.81505,14.32144,272.51096,4903.34277,7654.13965,2.54880,"528834","5408965"
564,2,"0",5.00000,0.00422,137.80789,189.86705,0.26653,71.14119,70.18014,75.09815,10.75582,8.38824,3.76276,20.20353,18.42240,12.81662,15.07922,2191.82983,65578.10938,2.20518,"751509","5459357"
565,2,"0",1.00000,0.01054,141.21098,140.32339,0.03373,102.59179,98.97249,104.78265,9.84514,7.28105,3.18551,17.18027,15.04428,10.76252,166.15532,10984.50000,149898.68750,0.05195,"770253","5194185"
566,2,"0",3.00000,0.02498,152.65115,168.27248,0.25139,87.25394,83.82850,78.46647,7.92158,5.65872,1.29835,16.58367,14.82574,9.41120,169.91293,14104.55078,65937.94531,2.83510,"580413","5690556"
567,2,"0",1.00000,0.00742,140.14204,202.32507,0.33596,91.20098,85.98089,78.99399,9.22929,7.50220,2.76829,20.17007,18.90587,13.39359,257.73190,2798.89014,6798.54883,4.13070,"502053","5478287"
568,2,"0",1.00000,0.02114,141.71400,195.82312,0.29021,96.77715,91.62968,82.15934,9.18573,7.43995,2.67692,19.34442,18.09327,12.72774,339.45486,3956.23804,8706.95508,1.75351,"480614","5487993"
569,2,"0",1.00000,0.00471,147.02972,176.34042,0.36364,85.21577,80.50427,74.59286,8.72821,6.50039,2.03233,17.91472,16.23162,10.82915,18.56907,6678.93945,52638.98438,1.39314,"560322","5684627"
570,2,"0",5.00000,0.03168,147.63223,176.14748,0.35084,101.96079,97.50256,86.19901,9.05210,7.06882,2.22515,16.87449,15.40858,10.31406,478.40240,14689.01953,11620.77734,6.12661,"467999","5547140"
571,2,"0",,0.01464,141.72662,202.91177,0.33651,97.88414,94.75540,87.30927,8.79793,7.20964,2.38729,19.52470,18.46366,13.12484,492.58337,14469.65918,17691.78516,2.63274,"492348","5405630"
572,2,"0",,0.01003,150.00459,177.41681,0.33815,96.76137,92.57167,84.79740,8.55795,6.53537,1.71127,16.79282,15.30344,9.98115,555.82776,14575.61133,10029.64551,1.69492,"506022","5563378"
573,2,"0",5.00000,0.00505,134.96094,163.82288,0.11151,86.83067,91.47231,93.77958,10.49510,8.08279,3.79951,19.34184,17.29928,12.77176,22.82317,2331.09717,67503.50781,3.84600,"725236","5301437"
574,2,"0",,0.00584,134.68799,184.27956,0.15468,99.50348,104.55095,107.14508,10.25258,8.27183,3.94677,19.72524,18.11784,13.55225,229.56938,28343.74023,16207.28516,4.70212,"635960","5304441"
575,2,"0",1.00000,0.01008,140.63437,191.41296,0.32110,106.76650,109.18039,98.92065,9.49246,7.74815,3.04025,18.82894,17.47394,12.60159,391.17279,5996.14014,5368.49463,5.62648,"444191","5342420"
576,2,"0",1.00000,0.01746,144.59383,180.33150,0.27337,83.36219,79.86336,72.59059,9.49246,7.20752,2.47573,18.62772,16.81149,11.40266,28.45570,920.68372,92840.75781,4.64898,"562897","5635245"
577,2,"0",2.00000,0.01198,134.81793,212.15675,0.30364,87.56503,87.32348,86.95728,10.05958,8.41503,3.68324,21.30682,20.09694,14.85181,179.94196,4102.93848,17598.81250,6.05315,"594068","5384930"
578,2,"0",1.00000,0.01467,134.06741,191.76904,0.18305,102.07996,105.74934,105.56810,10.26125,8.36364,3.92848,20.12592,18.66822,14.12311,184.53716,3248.26733,17004.66602,1.54575,"600567","5318611"
579,2,"0",2.00000,0.03006,140.93669,205.67200,0.42440,91.56123,86.36647,80.95495,8.81804,7.19839,2.40316,20.10561,18.99617,13.48422,381.04245,13669.28320,34396.95313,5.36893,"514747","5443354"
580,2,"0",1.00000,0.02244,136.46745,164.31831,0.08790,88.08556,92.34885,94.91949,10.35124,7.92486,3.63484,19.03726,17.02475,12.48609,90.49278,2017.98987,72152.81250,4.89728,"728127","5297009"
581,2,"0",2.00000,0.02806,138.63403,178.35838,0.23690,84.52779,86.91262,92.07246,9.53044,7.39381,2.95869,19.60859,17.92599,12.97674,255.16971,2941.22363,37925.92188,1.13140,"719976","5339556"
582,2,"0",1.00000,0.01770,142.70721,197.26970,0.31989,87.06382,83.02967,80.45280,9.04270,7.15858,2.38482,19.76059,18.33780,12.63414,285.61597,1662.73682,28808.94141,1.59244,"533775","5501587"
583,2,"0",,0.01169,148.73647,177.24486,0.38166,100.64312,96.26923,86.46034,8.72381,6.75980,1.92267,16.87465,15.44088,10.23063,524.31360,21670.80664,12028.89258,5.02906,"480860","5544928"
584,2,"0",1.00000,0.01043,137.03328,198.91370,0.19299,100.86520,96.15862,82.84717,10.91381,9.03648,4.19917,19.44539,18.03805,13.03431,111.17424,4973.56104,51981.59766,2.63913,"416589","5473433"
585,2,"0",2.00000,0.00747,133.42053,209.30321,0.26572,86.44727,87.34270,88.57793,10.35357,8.63564,3.95927,21.42242,20.15556,14.97738,148.36217,9427.16113,5051.68066,5.04695,"620762","5379493"
586,2,"0",2.00000,0.00570,132.74620,215.80565,0.24620,78.57892,77.45760,79.53629,10.85978,9.14535,4.32521,21.99021,20.69238,15.09986,46.55235,685.80829,1037.87573,2.77432,"610581","5430495"
587,2,"0",1.00000,0.00423,136.28549,175.59290,0.15900,91.48428,86.33511,92.03507,10.23559,7.85823,3.50770,19.75211,17.95091,13.04515,138.62682,174.38087,129397.48438,4.26302,"774189","5250903"
588,2,"0",1.00000,0.01384,135.69357,189.48103,0.29715,103.87825,108.06672,105.86268,10.10971,8.19836,3.72040,19.69234,18.21758,13.68743,216.68323,3526.47314,5730.90137,1.47935,"572038","5316398"
589,2,"0",3.00000,0.00671,137.38182,215.56490,0.38286,86.49525,83.22944,78.82269,9.43523,7.84995,3.05224,21.25344,20.08858,14.58615,177.91803,1023.42761,6684.51074,2.56882,"535075","5409889"
590,2,"0",1.00000,0.00159,137.35410,161.98325,0.13341,90.91923,92.20973,94.59527,10.50463,8.01014,3.70634,18.58368,16.58134,12.07326,105.40419,2764.51440,89502.12500,6.18907,"738423","5268951"
591,2,"0",1.00000,0.00182,136.55779,215.13815,0.39037,85.15688,82.20397,80.49480,9.65278,8.05760,3.26331,21.28834,20.12721,14.69020,214.24207,8497.06152,10908.88867,2.04877,"569749","5406392"
592,2,"0",1.00000,0.07522,143.26189,178.12427,0.26154,89.49489,83.97602,70.96410,10.31142,8.16483,3.33333,17.46478,15.81339,10.87570,125.06165,7209.77197,56760.41797,5.22867,"491723","5621606"
593,2,"0",2.00000,0.00471,134.75986,201.43001,0.26194,75.32159,74.16035,77.00980,10.66986,8.60970,3.97631,21.15410,19.64277,14.14290,45.86716,11121.50781,28097.31250,0.14062,"704202","5437483"
594,2,"0",1.00000,0.00877,135.22711,160.24089,0.06690,91.28899,97.15960,100.94090,10.55259,8.20051,4.00882,18.86619,16.79957,12.35614,87.68891,6998.61377,47832.59766,3.51935,"690332","5264941"
595,2,"0",,0.00447,135.30042,180.17160,0.17797,106.57280,112.48869,113.09016,10.39271,8.38713,4.06624,19.06300,17.46904,13.10110,251.50211,9946.06055,12437.99121,2.52145,"603304","5292841"
596,2,"0",1.00000,0.00496,133.73975,184.24934,0.05421,100.25217,101.64106,92.28279,11.15784,9.11119,4.52442,19.54525,17.89739,13.34142,21.48009,2547.41968,85817.81250,5.27470,"338991","5302887"
597,2,"0",,0.00313,140.36139,188.32632,0.25519,106.95963,112.06039,101.95773,9.57223,7.77106,3.15948,18.83130,17.32831,12.52492,345.70670,13831.72949,7754.92334,4.58852,"464716","5324769"
598,2,"0",1.00000,0.06139,142.47734,194.69742,0.31958,90.30698,85.99258,79.76322,9.21575,7.34004,2.60582,19.42600,17.98834,12.46670,259.16257,1262.17542,4213.81836,1.50647,"502185","5508817"
599,2,"0",1.00000,0.01777,139.52637,206.21031,0.37700,98.87963,94.33467,85.08719,9.56157,7.93277,3.08629,19.75255,18.66911,13.46390,400.94281,6788.66846,20146.04297,2.16579,"454390","5408913"
600,2,"0",2.00000,0.04475,141.06047,201.26733,0.32102,84.57645,81.04337,80.09374,9.33892,7.44204,2.63612,20.33263,18.91097,13.16891,174.83618,1945.36743,52036.36719,2.26960,"553676","5488268"
601,2,"0",1.00000,0.00240,140.68489,182.50856,0.21609,87.29369,82.24364,69.04868,10.79146,8.66539,3.82374,18.11626,16.46541,11.55091,7.03914,4241.91309,39785.58594,5.20742,"477510","5600527"
602,2,"0",1.00000,0.01309,142.20004,197.92317,0.38483,86.23109,82.26682,79.95600,9.12713,7.23488,2.46517,19.91937,18.47982,12.76017,275.13641,175.49535,30647.42188,1.36894,"535200","5500660"
603,2,"0",,0.00422,139.35173,177.28381,0.22169,107.28059,114.62254,107.69192,9.84769,7.90266,3.42188,18.51260,16.85519,12.30059,286.47449,29033.71875,5417.01514,5.64416,"507736","5304468"
604,2,"0",5.00000,0.05334,139.53275,203.49823,0.30353,101.61523,98.39719,88.82841,9.62683,7.98451,3.12878,19.46569,18.36091,13.27251,445.34326,8920.68164,28326.41016,2.71299,"443687","5394277"
605,2,"0",2.00000,0.00638,135.13638,199.65836,0.35077,97.56075,99.73054,99.18913,9.98215,8.19295,3.63438,20.44349,19.11151,14.30144,230.59210,15518.12402,12073.61230,4.04978,"596250","5343988"
606,2,"0",3.00000,0.00722,134.73418,182.82532,0.15714,106.02489,111.80732,112.40212,10.45764,8.46320,4.14384,19.25168,17.66183,13.28168,234.88890,10052.76855,10290.10254,1.75749,"605472","5294667"
607,2,"0",2.00000,0.00444,137.49370,214.07819,0.45390,90.18282,88.62540,82.60824,9.52197,7.92347,3.13515,21.00844,19.82663,14.41266,227.15308,2368.00586,1115.22937,1.25028,"521400","5392800"
608,2,"0",1.00000,0.01063,134.11424,199.43506,0.20782,98.37598,97.21957,88.24698,11.16476,9.26733,4.51358,20.00645,18.54436,13.78917,61.13495,3240.22583,46754.22656,5.58234,"389082","5361990"
609,2,"0",1.00000,0.01134,141.93430,166.30788,0.16390,106.05671,110.05599,102.30756,10.16110,8.00771,3.38851,17.53311,15.71929,11.18373,398.80460,12555.55859,82685.01563,2.28945,"347901","5291279"
610,2,"0",2.00000,0.00435,138.12981,197.66901,0.30665,73.82025,71.89996,70.10129,10.93785,8.63301,3.80701,20.25763,18.61356,12.89300,20.04509,820.85468,31401.97852,3.10680,"658776","5486125"
611,2,"0",3.00000,0.00786,136.79329,191.42004,0.16199,71.85895,71.68549,76.93406,10.65923,8.37323,3.78453,20.55218,18.79010,13.21136,27.54386,4480.47705,47723.68359,1.06114,"747929","5441577"
612,2,"0",,0.01429,148.83226,175.01129,0.43057,102.98653,98.53014,87.53913,8.77250,6.81798,1.97344,16.69590,15.27076,10.13574,575.11774,17803.57617,7214.65625,0.33127,"468644","5543747"
613,2,"0",,0.03256,140.92490,163.95291,0.11423,112.31004,120.70493,110.91629,9.93562,7.90464,3.45815,17.61492,15.75344,11.35530,334.39340,21308.39453,28201.21680,3.08268,"429416","5297495"
614,2,"0",,0.00707,137.54572,162.52904,0.15656,90.68028,92.22028,94.84911,10.42402,7.94650,3.64207,18.61553,16.63750,12.10532,124.59702,919.51880,88387.48438,2.08130,"738937","5273228"
615,2,"0",1.00000,0.01151,136.72748,183.15852,0.14994,79.94637,82.12733,87.68374,9.87527,7.67841,3.23248,20.29134,18.55281,13.44308,95.06052,1283.31384,50053.16016,3.26375,"742345","5342708"
616,2,"0",1.00000,0.04847,139.64824,202.09718,0.31544,82.46918,79.27905,78.95074,9.71241,7.74957,2.95236,20.71807,19.20793,13.43558,68.09060,359.42017,55238.96875,2.24803,"559293","5495101"
617,2,"0",2.00000,0.00719,135.31137,198.85788,0.19801,74.42117,73.62686,77.13839,10.62801,8.52044,3.90736,20.98422,19.39049,13.86622,55.57540,11450.15820,36213.78516,3.76766,"714409","5441918"
618,2,"0",1.00000,0.02006,148.32695,181.36479,0.39362,87.69519,83.79773,78.17977,8.99490,6.80610,2.04787,17.54649,15.83946,10.42073,297.73596,27647.71680,53441.68359,2.32875,"543096","5600388"
619,2,"0",1.00000,0.02526,155.27406,166.16077,0.20565,87.57756,84.78214,79.28526,7.58500,5.30151,1.01205,15.94744,14.14560,8.78061,247.11797,7620.23438,69123.32813,5.23061,"587533","5697735"
620,2,"0",1.00000,0.03614,140.88686,163.64607,0.10088,109.74740,115.63384,106.94947,10.10301,7.99808,3.50130,17.67389,15.78421,11.35720,309.83093,20601.07031,51383.78906,2.73272,"383455","5292186"
621,2,"0",1.00000,0.00603,146.40727,178.76154,0.27273,85.09128,82.04246,74.90352,9.17081,6.88161,2.21928,18.11845,16.33049,10.91805,53.08842,1766.64478,84319.13281,0.13418,"566998","5649227"
622,2,"0",1.00000,0.01194,140.65189,200.72473,0.34952,89.49668,84.57655,79.16701,9.12036,7.36729,2.62137,20.13486,18.84336,13.26384,270.10669,6898.62012,18847.78320,5.87981,"513882","5481897"
623,2,"0",1.00000,0.01665,150.12018,175.02658,0.35947,100.31365,95.90903,86.22772,8.59663,6.60008,1.76118,16.52602,15.06827,9.85646,591.26831,21717.20313,6974.09521,0.09788,"486293","5559776"
624,2,"0",1.00000,0.00432,141.53432,183.62831,0.27273,86.83917,81.99776,69.78439,10.58948,8.48160,3.63813,18.06774,16.44542,11.46246,83.74756,5369.78467,33539.70703,5.59006,"485192","5596433"
625,2,"0",,0.00579,140.38049,170.80647,0.30147,109.42970,118.17090,111.36392,9.84616,7.83027,3.39985,17.95098,16.19342,11.75355,315.22314,39673.69531,1366.28113,0.47680,"501237","5292946"
626,2,"0",1.00000,0.01237,142.76961,194.86980,0.34818,91.99471,87.42023,81.23495,8.98533,7.16487,2.40697,19.32201,17.97280,12.44651,344.31396,8299.74023,13504.64648,5.97567,"504255","5499895"
627,2,"0",1.00000,0.02464,148.04260,182.26355,0.44263,87.22460,83.37572,77.97598,9.01680,6.82238,2.06798,17.63041,15.91389,10.48209,284.68045,26244.28906,54371.96875,2.91814,"545883","5600234"
628,2,"0",,0.02013,140.10704,165.88794,0.11563,111.89183,121.47698,111.60332,10.00954,7.99141,3.57841,17.79283,15.91683,11.53366,285.83987,3612.63403,25108.33008,3.27009,"452868","5296363"
629,2,"0",1.00000,0.00999,136.63283,166.26805,0.15333,96.00996,90.90602,96.69954,10.18040,7.73497,3.46579,19.34756,17.45880,12.68175,113.70966,3870.43774,139372.60938,4.87536,"777325","5230152"
630,2,"0",,0.00571,148.39725,177.97018,0.34890,90.86518,86.46671,78.53068,9.05592,6.92178,2.13529,17.10697,15.47430,10.19669,368.59644,24478.05664,45098.37500,2.35249,"522073","5598891"
631,2,"0",1.00000,0.00339,133.77765,196.87105,0.26632,98.40352,101.42977,101.53948,10.24324,8.39339,3.91341,20.47833,19.06076,14.37716,182.19934,2154.43726,18950.92578,5.85930,"606250","5331151"
632,2,"0",2.00000,0.00807,133.66083,216.13255,0.29274,82.33162,81.74612,82.72784,10.42794,8.79881,4.00270,21.76125,20.55639,15.12868,123.76242,2598.06250,13814.57715,1.60566,"604350","5407960"
633,2,"0",3.00000,0.03081,137.31189,182.60672,0.26954,82.44431,84.53418,89.55180,9.65900,7.55809,3.12039,20.08076,18.41248,13.41901,208.46654,1836.36108,35113.41797,0.56697,"719628","5343593"
634,2,"0",1.00000,0.01606,138.10510,207.02834,0.39229,98.91319,93.57543,84.08739,10.18366,8.49171,3.60434,19.71910,18.59494,13.50366,323.14572,2180.93384,7283.49023,0.96923,"430947","5416697"
635,2,"0",1.00000,0.02091,137.72534,161.53471,0.03743,108.56725,116.36626,107.84157,10.63964,8.45970,4.07964,18.13490,16.02352,11.73347,120.86223,25024.48828,47860.15625,2.77547,"395310","5286387"
636,2,"0",1.00000,0.03020,145.18935,180.26286,0.28917,84.15771,80.39060,73.22604,9.47436,7.19990,2.45752,18.39511,16.58974,11.20227,62.22341,6550.54248,84746.50781,1.28724,"558049","5630056"
637,2,"0",1.00000,0.00959,139.78813,188.77847,0.26471,68.94529,69.28535,72.28904,10.99356,8.43817,3.66891,19.50559,17.70338,12.07981,51.41847,8283.64063,51744.50781,0.43570,"711968","5507937"
638,2,"0",5.00000,0.03784,136.60103,182.79463,0.17547,102.44758,103.73628,94.53981,10.73072,8.70237,4.08959,18.97974,17.31044,12.72451,150.27760,4987.28223,63515.41797,4.50256,"359169","5315036"
639,2,"0",5.00000,0.00245,136.28030,200.31557,0.30748,83.28345,84.14642,88.56902,9.84188,7.95374,3.35460,20.67407,19.33119,14.12980,246.13048,11271.97852,14562.35352,5.56285,"677174","5375882"
640,2,"0",3.00000,0.00523,132.19499,185.78064,0.12028,102.61068,107.90386,107.67712,10.77849,8.77682,4.42056,19.96357,18.35200,13.96716,60.30883,599.42725,15559.93457,5.39231,"594127","5303213"
